epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1244.98,0.39211,0.32408,0.91174,0.90505,0.89655,0.94186,0.86433,0.45311,0.48412,0.90425,0.00038575,0.00038575,0.00038575
60,1266.07,0.38318,0.32266,0.90846,0.91649,0.93857,0.95932,0.87705,0.4536,0.41079,0.9076,0.000381625,0.000381625,0.000381625
61,1286.94,0.38799,0.32654,0.90745,0.88483,0.91821,0.94565,0.86866,0.45071,0.46398,0.91951,0.0003775,0.0003775,0.0003775
62,1308.37,0.38724,0.32117,0.90784,0.92439,0.93224,0.96758,0.89527,0.45208,0.37572,0.92079,0.000373375,0.000373375,0.000373375
63,1329.76,0.38841,0.32441,0.90574,0.93306,0.8966,0.94643,0.87223,0.46278,0.45181,0.9377,0.00036925,0.00036925,0.00036925
64,1351.08,0.38407,0.31567,0.90201,0.88518,0.93464,0.95537,0.87211,0.47539,0.4559,0.92244,0.000365125,0.000365125,0.000365125
65,1372.29,0.38156,0.3161,0.90392,0.89125,0.87323,0.9403,0.85582,0.47911,0.51714,0.92874,0.000361,0.000361,0.000361
66,1393.21,0.36747,0.29831,0.90422,0.92927,0.90745,0.95569,0.87735,0.46936,0.42291,0.91784,0.000356875,0.000356875,0.000356875
67,1414.56,0.37727,0.30659,0.9059,0.89901,0.93571,0.95,0.86617,0.461,0.42835,0.91484,0.00035275,0.00035275,0.00035275
68,1435.69,0.37145,0.31469,0.89964,0.89704,0.91023,0.95057,0.863,0.47613,0.44989,0.93434,0.000348625,0.000348625,0.000348625
69,1456.53,0.3743,0.30654,0.90179,0.92034,0.91288,0.94264,0.86806,0.46562,0.43331,0.92966,0.0003445,0.0003445,0.0003445
70,1477.45,0.36706,0.29741,0.9012,0.91257,0.89252,0.94133,0.86464,0.44673,0.48949,0.90768,0.000340375,0.000340375,0.000340375
71,1498.18,0.35964,0.29761,0.89646,0.91333,0.92434,0.95493,0.87571,0.463,0.40315,0.9204,0.00033625,0.00033625,0.00033625
72,1519.23,0.35719,0.29303,0.89362,0.91838,0.92775,0.95961,0.8784,0.47279,0.4261,0.91622,0.000332125,0.000332125,0.000332125
73,1540.12,0.36029,0.30394,0.89905,0.93426,0.89105,0.94892,0.86739,0.46504,0.47832,0.91741,0.000328,0.000328,0.000328
74,1561.29,0.35281,0.29033,0.89472,0.92167,0.9067,0.95822,0.88072,0.44019,0.4267,0.90215,0.000323875,0.000323875,0.000323875
75,1582.77,0.34992,0.28951,0.89619,0.91172,0.91279,0.93752,0.86621,0.44007,0.44454,0.91281,0.00031975,0.00031975,0.00031975
76,1604.3,0.35341,0.29402,0.89695,0.92514,0.90917,0.95111,0.87717,0.44619,0.42836,0.90746,0.000315625,0.000315625,0.000315625
77,1625.22,0.34629,0.28429,0.88925,0.86895,0.9148,0.94997,0.87756,0.4585,0.47212,0.91473,0.0003115,0.0003115,0.0003115
78,1646.07,0.35369,0.28614,0.89521,0.91061,0.90024,0.9396,0.86855,0.44841,0.48384,0.91344,0.000307375,0.000307375,0.000307375
79,1666.88,0.3368,0.28072,0.89447,0.92668,0.88279,0.95242,0.88227,0.43494,0.45154,0.90051,0.00030325,0.00030325,0.00030325
80,1687.65,0.34597,0.27766,0.89223,0.93329,0.90441,0.95944,0.8837,0.43568,0.39242,0.89378,0.000299125,0.000299125,0.000299125
81,1708.69,0.34046,0.27566,0.88771,0.92401,0.9151,0.96833,0.89219,0.45176,0.38464,0.9111,0.000295,0.000295,0.000295
82,1729.52,0.34221,0.27729,0.89067,0.92942,0.90438,0.95949,0.88874,0.44341,0.39534,0.91179,0.000290875,0.000290875,0.000290875
